POLICY_LOB_CD	WPC_LOB_CD	WPC_COVERAGE_CD	WPC_COVERAGE_DESCR	ASLOB_CD	CORR_ASLOB_CD	SUBLINE_CD	CORR_SUBLINE_CD	EDW_COVERAGE_CD
BO	75	871	Non-Owned Auto Liability	051	NULL	915	NULL	740185
BO	75	893	Electronic Media	051	NULL	915	NULL	740186
BO	75	906	Money and Securites	051	NULL	915	NULL	740187
BO	75	909	All other coverages	051	NULL	915	NULL	740188
BO	75	850	Building	052	NULL	915	NULL	740189
BO	75	851	Personal Property/Contents	052	NULL	915	NULL	740190
BO	75	852	Contents Special	052	NULL	915	NULL	740191
BO	75	862	Employee Dishonesty	052	NULL	915	NULL	740192
BO	75	870	Hired Auto Liability	052	NULL	915	NULL	740193
BO	75	871	Non-Owned Auto Liability	052	NULL	915	NULL	740194
BO	75	893	Electronic Media	052	NULL	915	NULL	740195
BO	75	906	Money and Securites	052	NULL	915	NULL	740196
BO	75	909	All other coverages	052	NULL	915	NULL	740197
BO	77	700	Terrorism Certified Acts	051	NULL	915	NULL	740198
BO	77	701	Terrorism Fire only	051	NULL	915	NULL	740199
BO	77	808	Employee benefits liability	051	NULL	915	NULL	740200
BO	77	809	D&O Condo	051	NULL	915	NULL	740201
BO	77	833	Misc Real Prop/Condo	051	NULL	915	NULL	740202
BO	77	834	EQ/Building	051	NULL	915	NULL	740203
BO	77	835	EQ/Contents	051	NULL	915	NULL	740204
BO	77	836	Spoilage	051	NULL	915	NULL	740205
BO	77	837	Increased Jewelry sublimit	051	NULL	915	NULL	740206
BO	77	838	Ordinance and Law	051	NULL	915	NULL	740207
BO	77	839	Fine Arts	051	NULL	915	NULL	740208
BO	77	840	Outdoor Property	051	NULL	915	NULL	740209
BO	77	841	Water backup/sump overflow	051	NULL	915	NULL	740210
BO	77	842	Printers enhancement	051	NULL	915	NULL	740211
BO	77	843	Veterinarians Professional	051	NULL	915	NULL	740212
BO	77	844	Funeral directors professional	051	NULL	915	NULL	740213
BO	77	845	Printers E&O	051	NULL	915	NULL	740214
BO	77	846	Florists E&O	051	NULL	915	NULL	740215
BO	77	847	BOP Liquor liability	051	NULL	915	NULL	740216
BO	77	849	Liability coverage, fast food restaurants	051	NULL	915	NULL	740217
BO	77	850	Building	051	NULL	915	NULL	740218
BO	77	851	Personal Property/Contents	051	NULL	915	NULL	740219
BO	77	852	Contents Special	051	NULL	915	NULL	740220
BO	77	853	BOP Med Pay	051	NULL	915	NULL	740221
BO	77	854	BOP Fire Legal	051	NULL	915	NULL	740222
BO	77	855	Fire Legal Liability	051	NULL	915	NULL	740223
BO	77	856	BOP Inland Marine	051	NULL	915	NULL	740224
BO	77	857	All other BOP Liability	051	NULL	915	NULL	740225
BO	77	858	All other BOP Property	051	NULL	915	NULL	740226
BO	77	860	Exterior Grade Floor Glass	051	NULL	915	NULL	740227
BO	77	862	Employee Dishonesty	051	NULL	915	NULL	740228
BO	77	866	Accounts Receivable	051	NULL	915	NULL	740229
BO	77	867	Valuable Papers	051	NULL	915	NULL	740230
BO	77	869	Additional Interests	051	NULL	915	NULL	740231
BO	77	870	Hired Auto Liability	051	NULL	915	NULL	740232
BO	77	871	Non-Owned Auto Liability	051	NULL	915	NULL	740233
BO	77	880	Druggist Liability	051	NULL	915	NULL	740234
BO	77	881	Barber Shop-Full Time	051	NULL	915	NULL	740235
BO	77	884	Beauty Shop - Full Time Employees	051	NULL	915	NULL	740236
BO	77	885	Beauty Shop-Part Time Employees	051	NULL	915	NULL	740237
BO	77	886	Beauty Shop-Manicurists	051	NULL	915	NULL	740238
BO	77	889	Exterior Sign	051	NULL	915	NULL	740239
BO	77	890	Additional Valuable Papers	051	NULL	915	NULL	740240
BO	77	893	Electronic Media	051	NULL	915	NULL	740241
BO	77	897	Utility Services	051	NULL	915	NULL	740242
BO	77	900	Fidelity and Forgery	051	NULL	915	NULL	740243
BO	77	901	Optician	051	NULL	915	NULL	740244
BO	77	906	Money and Securites	051	NULL	915	NULL	740245
BO	77	909	All other coverages	051	NULL	915	NULL	740246
BO	77	950	Glass	051	NULL	915	NULL	740247
BO	77	987	BOP Products Aggregate	051	NULL	915	NULL	740248
BO	77	988	BOP General Aggregate	051	NULL	915	NULL	740249
BO	77	989	BOP Per Occurence	051	NULL	915	NULL	740250
BO	77	700	Terrorism Certified Acts	052	NULL	915	NULL	740251
BO	77	701	Terrorism Fire only	052	NULL	915	NULL	740252
BO	77	808	Employee benefits liability	052	NULL	915	NULL	740253
BO	77	809	D&O Condo	052	NULL	915	NULL	740254
BO	77	833	Misc Real Prop/Condo	052	NULL	915	NULL	740255
BO	77	834	EQ/Building	052	NULL	915	NULL	740256
BO	77	835	EQ/Contents	052	NULL	915	NULL	740257
BO	77	836	Spoilage	052	NULL	915	NULL	740258
BO	77	837	Increased Jewelry sublimit	052	NULL	915	NULL	740259
BO	77	838	Ordinance and Law	052	NULL	915	NULL	740260
BO	77	839	Fine Arts	052	NULL	915	NULL	740261
BO	77	840	Outdoor Property	052	NULL	915	NULL	740262
BO	77	841	Water backup/sump overflow	052	NULL	915	NULL	740263
BO	77	842	Printers enhancement	052	NULL	915	NULL	740264
BO	77	843	Veterinarians Professional	052	NULL	915	NULL	740265
BO	77	844	Funeral directors professional	052	NULL	915	NULL	740266
BO	77	845	Printers E&O	052	NULL	915	NULL	740267
BO	77	846	Florists E&O	052	NULL	915	NULL	740268
BO	77	847	BOP Liquor liability	052	NULL	915	NULL	740269
BO	77	849	Liability coverage, fast food restaurants	052	NULL	915	NULL	740270
BO	77	850	Building	052	NULL	915	NULL	740271
BO	77	851	Personal Property/Contents	052	NULL	915	NULL	740272
BO	77	852	Contents Special	052	NULL	915	NULL	740273
BO	77	853	BOP Med Pay	052	NULL	915	NULL	740274
BO	77	854	BOP Fire Legal	052	NULL	915	NULL	740275
BO	77	855	Fire Legal Liability	052	NULL	915	NULL	740276
BO	77	856	BOP Inland Marine	052	NULL	915	NULL	740277
BO	77	857	All other BOP Liability	052	NULL	915	NULL	740278
BO	77	858	All other BOP Property	052	NULL	915	NULL	740279
BO	77	860	Exterior Grade Floor Glass	052	NULL	915	NULL	740280
BO	77	862	Employee Dishonesty	052	NULL	915	NULL	740281
BO	77	866	Accounts Receivable	052	NULL	915	NULL	740282
BO	77	867	Valuable Papers	052	NULL	915	NULL	740283
BO	77	869	Additional Interests	052	NULL	915	NULL	740284
BO	77	870	Hired Auto Liability	052	NULL	915	NULL	740285
BO	77	871	Non-Owned Auto Liability	052	NULL	915	NULL	740286
BO	77	880	Druggist Liability	052	NULL	915	NULL	740287
BO	77	881	Barber Shop-Full Time	052	NULL	915	NULL	740288
BO	77	884	Beauty Shop - Full Time Employees	052	NULL	915	NULL	740289
BO	77	885	Beauty Shop-Part Time Employees	052	NULL	915	NULL	740290
BO	77	886	Beauty Shop-Manicurists	052	NULL	915	NULL	740291
BO	77	889	Exterior Sign	052	NULL	915	NULL	740292
BO	77	890	Additional Valuable Papers	052	NULL	915	NULL	740293
BO	77	893	Electronic Media	052	NULL	915	NULL	740294
BO	77	897	Utility Services	052	NULL	915	NULL	740295
BO	77	900	Fidelity and Forgery	052	NULL	915	NULL	740296
BO	77	901	Optician	052	NULL	915	NULL	740297
BO	77	906	Money and Securites	052	NULL	915	NULL	740298
BO	77	909	All other coverages	052	NULL	915	NULL	740299
BO	77	950	Glass	052	NULL	915	NULL	740300
BO	77	987	BOP Products Aggregate	052	NULL	915	NULL	740301
BO	77	988	BOP General Aggregate	052	NULL	915	NULL	740302
BO	77	989	BOP Per Occurence	052	NULL	915	NULL	740303
BO	78	700	Terrorism Certified Acts	051	NULL	915	NULL	740304
BO	78	701	Terrorism Fire only	051	NULL	915	NULL	740305
BO	78	832	Loss Assessment/condo	051	NULL	915	NULL	740306
BO	78	847	BOP Liquor liability	051	NULL	915	NULL	740307
BO	78	848	Liability coverage/special contractors	051	NULL	915	NULL	740308
BO	78	849	Liability coverage, fast food restaurants	051	NULL	915	NULL	740309
BO	78	850	Building	051	NULL	915	NULL	740310
BO	78	851	Personal Property/Contents	051	NULL	915	NULL	740311
BO	78	852	Contents Special	051	NULL	915	NULL	740312
BO	78	853	BOP Med Pay	051	NULL	915	NULL	740313
BO	78	854	BOP Fire Legal	051	NULL	915	NULL	740314
BO	78	856	BOP Inland Marine	051	NULL	915	NULL	740315
BO	78	857	All other BOP Liability	051	NULL	915	NULL	740316
BO	78	858	All other BOP Property	051	NULL	915	NULL	740317
BO	78	862	Employee Dishonesty	051	NULL	915	NULL	740318
BO	78	869	Additional Interests	051	NULL	915	NULL	740319
BO	78	870	Hired Auto Liability	051	NULL	915	NULL	740320
BO	78	871	Non-Owned Auto Liability	051	NULL	915	NULL	740321
BO	78	889	Exterior Sign	051	NULL	915	NULL	740322
BO	78	893	Electronic Media	051	NULL	915	NULL	740323
BO	78	906	Money and Securites	051	NULL	915	NULL	740324
BO	78	912	Tools - Owned Blanket	051	NULL	915	NULL	740325
BO	78	913	Tools - Owned Scheduled	051	NULL	915	NULL	740326
BO	78	914	Installation Floater	051	NULL	915	NULL	740327
BO	78	915	Employee Tools	051	NULL	915	NULL	740328
BO	78	916	Tools Non-Owned	051	NULL	915	NULL	740329
BO	78	917	Contractors Package	051	NULL	915	NULL	740330
BO	78	950	Glass	051	NULL	915	NULL	740331
BO	78	987	BOP Products Aggregate	051	NULL	915	NULL	740332
BO	78	988	BOP General Aggregate	051	NULL	915	NULL	740333
BO	78	989	BOP Per Occurence	051	NULL	915	NULL	740334
BO	78	700	Terrorism Certified Acts	052	NULL	915	NULL	740335
BO	78	701	Terrorism Fire only	052	NULL	915	NULL	740336
BO	78	832	Loss Assessment/condo	052	NULL	915	NULL	740337
BO	78	847	BOP Liquor liability	052	NULL	915	NULL	740338
BO	78	848	Liability coverage/special contractors	052	NULL	915	NULL	740339
BO	78	849	Liability coverage, fast food restaurants	052	NULL	915	NULL	740340
BO	78	850	Building	052	NULL	915	NULL	740341
BO	78	851	Personal Property/Contents	052	NULL	915	NULL	740342
BO	78	852	Contents Special	052	NULL	915	NULL	740343
BO	78	853	BOP Med Pay	052	NULL	915	NULL	740344
BO	78	854	BOP Fire Legal	052	NULL	915	NULL	740345
BO	78	856	BOP Inland Marine	052	NULL	915	NULL	740346
BO	78	857	All other BOP Liability	052	NULL	915	NULL	740347
BO	78	858	All other BOP Property	052	NULL	915	NULL	740348
BO	78	862	Employee Dishonesty	052	NULL	915	NULL	740349
BO	78	869	Additional Interests	052	NULL	915	NULL	740350
BO	78	870	Hired Auto Liability	052	NULL	915	NULL	740351
BO	78	871	Non-Owned Auto Liability	052	NULL	915	NULL	740352
BO	78	889	Exterior Sign	052	NULL	915	NULL	740353
BO	78	893	Electronic Media	052	NULL	915	NULL	740354
BO	78	906	Money and Securites	052	NULL	915	NULL	740355
BO	78	912	Tools - Owned Blanket	052	NULL	915	NULL	740356
BO	78	913	Tools - Owned Scheduled	052	NULL	915	NULL	740357
BO	78	914	Installation Floater	052	NULL	915	NULL	740358
BO	78	915	Employee Tools	052	NULL	915	NULL	740359
BO	78	916	Tools Non-Owned	052	NULL	915	NULL	740360
BO	78	917	Contractors Package	052	NULL	915	NULL	740361
BO	78	950	Glass	052	NULL	915	NULL	740362
BO	78	987	BOP Products Aggregate	052	NULL	915	NULL	740363
BO	78	988	BOP General Aggregate	052	NULL	915	NULL	740364
BO	78	989	BOP Per Occurence	052	NULL	915	NULL	740365
